index;Titel;Autor_normalisiert;Jahr;Geschlecht;Gattung;all_words_count;AbstConc;anteil_AbstConc
139;Maria Regina;Hahn-Hahn, Ida Gräfin von;1860;f;Roman;228497;50.449.692.200.008.100;22.078.929.789.016.100
140;Usong;Haller, Albrecht von;1771;m;Roman;56139;11.279.403.400.000.300;20.091.920.768.094.000
141;Mitteilungen aus den Memoiren des Satan;Hauff, Wilhelm;1825;m;Roman;90187;20.238.312.999.999.700;2.244.038.830.430.070
142;Lichtenstein;Hauff, Wilhelm;1826;m;Roman;126161;2.969.287.649.999.980;23.535.701.603.506.500
143;Die Bettlerin vom Pont des Arts;Hauff, Wilhelm;1826;m;Roman;36651;8.169.711.700.000.150;222.905.560.557.697
144;Einhart der Lächler;Hauptmann, Carl;1915;m;Roman;87654;2.102.842.939.999.920;2.399.026.787.140.260
145;Ardinghello und die glückseligen Inseln;Heinse, Wilhelm;1787;m;Roman;102002;22.048.474.099.999.300;21.615.727.240.641.700
147;Faust und Don Juan;Hesekiel, George;1846;m;Roman;78687;18.364.175.299.999.900;23.338.258.289.170.900
148;Briefe, die ihn nicht erreichten;Heyking, Elisabeth von;1903;f;Roman;48118;11.046.578.900.000.300;2.295.726.942.100.740
149;Tschun;Heyking, Elisabeth von;1914;f;Roman;62763;14.203.236.400.000.500;22.629.951.404.490.800
150;Kreuz- und Querzüge des Ritters A bis Z;Hippel, Theodor Gottlieb von;1760;m;Roman;187646;3.842.203.720.000.470;2.047.580.934.312.730
151;Lebensläufe nach aufsteigender Linie;Hippel, Theodor Gottlieb von;1778;m;Roman;320017;6.717.737.300.000.230;2.099.181.387.238.870
152;Die Elixiere des Teufels;Hoffmann, E. T. A.;1815;m;Roman;106933;23.777.381.799.998.700;2.223.577.548.558.320
153;Lebensansichten des Katers Murr;Hoffmann, E. T. A.;1819;m;Roman;134006;2.960.965.309.999.770;22.095.766.682.087.100
154;Fragment von Hyperion;Hölderlin, Friedrich;1795;m;Roman;7024;1.400.418.099.999.990;19.937.615.318.906.500
155;Hyperions Jugend;Hölderlin, Friedrich;1795;m;Roman;12003;23.976.627.999.999.800;19.975.529.450.970.400
156;Hyperion oder der Eremit in Griechenland;Hölderlin, Friedrich;1797;m;Roman;48032;9.712.504.900.000.400;20.220.904.605.264
157;Die Familie Seldorf;Huber, Therese;1795;f;Roman;92111;19.854.893.599.999.700;21.555.399.029.431.500
158;Luise;Huber, Therese;1796;f;Roman;39293;817.522.970.000.015;2.080.581.706.665.340
159;Klosterberuf;Huber, Therese;1807;f;Roman;46839;10.205.090.600.000.400;21.787.592.817.951.700
160;Ellen Percy;Huber, Therese;1822;f;Roman;88631;18.833.132.000.000.000;21.248.921.934.763.200
163;Die Epigonen;Immermann, Karl;1836;m;Roman;195990;42.780.550.800.006.500;2.182.792.530.231.460
164;Münchhausen;Immermann, Karl;1838;m;Roman;240220;5.327.805.660.000.860;2.217.885.962.867.730
165;Woldemar;Jacobi, Friedrich Heinrich;1779;m;Roman;28609;5.658.809.600.000.060;19.779.823.132.580.800
166;Aus Eduard Allwills Papieren;Jacobi, Friedrich Heinrich;1781;m;Roman;24719;50.909.282.999.999.900;20.595.203.284.922.500
167;Niels Lyhne;Jacobsen, Jens Peter;1880;m;Roman;67649;15.008.741.900.000.100;2.218.619.920.471.870
168;Ninive;Janitschek, Maria;1896;f;Roman;45271;10.274.326.300.000.200;22.695.160.919.794.500
169;Die Amazonenschlacht;Janitschek, Maria;1897;f;Roman;17800;4.117.881.400.000.000;2.313.416.516.853.930
170;Einer Mutter Sieg;Janitschek, Maria;1898;f;Roman;32881;7.419.995.099.999.960;2.256.620.875.277.500
171;Die unsichtbare Loge;Jean Paul;1793;m;Roman;149583;31.801.600.100.001.600;21.260.170.005.951
172;Hesperus oder 45 Hundsposttage;Jean Paul;1795;m;Roman;246658;5.343.288.810.000.790;21.662.742.785.560.500
173;Leben des Quintus Fixlein;Jean Paul;1796;m;Roman;77252;16.388.572.700.000.000;2.121.443.160.047.640
174;Blumen-, Frucht- und Dornenstücke;Jean Paul;1796;m;Roman;177309;37.656.954.200.001.900;21.238.038.791.038.200
175;Titan;Jean Paul;1800;m;Roman;264009;5.905.817.789.999.940;223.697.593.263.864
176;Des Luftschiffers Giannozzo Seebuch;Jean Paul;1801;m;Roman;26612;5.706.128.300.000.020;21.441.937.096.047
177;Flegeljahre;Jean Paul;1804;m;Roman;157526;34.669.284.000.001.200;2.200.861.064.205.350
178;Des Feldpredigers Schmelzle Reise nach Flätz;Jean Paul;1809;m;Roman;18414;3.906.246.500.000.030;21.213.459.867.492.300
179;Dr. Katzenbergers Badereise;Jean Paul;1809;m;Roman;83381;17.789.284.199.999.800;2.133.493.745.577.510
181;Der grüne Heinrich1 [Erste Fassung];Keller, Gottfried;1854;m;Roman;267412;6.036.323.100.000.270;22.573.119.755.285.000
182;Der grüne Heinrich2 [Zweite Fassung];Keller, Gottfried;1879;m;Roman;250914;5.676.935.450.000.530;226.250.247.096.636
183;Martin Salander;Keller, Gottfried;1886;m;Roman;94692;21.370.159.799.998.700;22.568.073.121.276.000
184;Beate und Mareile;Keyserling, Eduard von;1903;m;Roman;31883;7.855.113.800.000.000;24.637.310.792.585.400
185;Dumala;Keyserling, Eduard von;1907;m;Roman;29265;713.860.639.999.993;2.439.298.274.389.170
186;Wellen;Keyserling, Eduard von;1911;m;Roman;44404;10.594.165.000.000.200;23.858.582.560.130.100
187;Abendliche Häuser;Keyserling, Eduard von;1914;m;Roman;46359;11.081.038.700.000.200;23.902.669.816.001.600
188;Bracke;Klabund;1918;m;Roman;34122;8.749.764.400.000.080;2.564.258.953.168.060
189;Die Nachtwachen des Bonaventura;Klingemann, August;1804;m;Roman;38770;8.235.502.900.000.110;2.124.194.712.406.520
190;Fausts Leben, Taten und Höllenfahrt;Klinger, Friedrich Maximilian;1791;m;Roman;64163;14.009.297.500.000.700;2.183.391.908.109.150
191;Geschichte eines Teutschen der neusten Zeit;Klinger, Friedrich Maximilian;1798;m;Roman;77600;1.590.573.620.000.090;20.497.082.731.959.900
192;Benjamin Noldmanns Geschichte der Aufklärung in Abyssinien;Knigge, Adolph Freiherr von;1791;m;Roman;93315;2.004.315.519.999.920;2.147.902.823.768.870
193;Josephs von Wurmbrands ... politisches Glaubensbekenntnis;Knigge, Adolph Freiherr von;1792;m;Roman;20935;4.248.876.299.999.990;20.295.563.888.225.400
194;Die Reise nach Braunschweig;Knigge, Adolph Freiherr von;1792;m;Roman;37833;7.916.136.100.000.160;20.923.892.104.776.700
195;Meister Timpe;Kretzer, Max;1888;m;Roman;78317;17.708.272.599.999.900;22.611.020.085.038.900
196;Der Amerika-Müde;Kürnberger, Ferdinand;1855;m;Roman;170116;3.596.551.510.000.150;2.114.175.921.136.250
197;Der Sonnenwirt;Kurz, Hermann;1854;m;Roman;178199;3.810.041.950.000.430;21.380.826.772.318.700
198;Geschichte des Fräuleins von Sternheim;La Roche, Sophie von;1771;f;Roman;99638;20.954.501.299.999.900;21.030.632.188.522.400
199;Rosaliens Briefe an ihre Freundin Mariane von St**;La Roche, Sophie von;1779;f;Roman;220741;46.561.603.100.007.600;2.109.331.891.221.270
200;Erscheinungen am See Oneida;La Roche, Sophie von;1798;f;Roman;102944;22.138.192.899.999.800;2.150.508.324.914.500
201;Das junge Europa;Laube, Heinrich;1833;m;Roman;179235;4.117.325.110.000.760;22.971.657.935.117.300
203;Clementine;Lewald, Fanny;1842;f;Roman;33981;7.015.209.900.000.030;2.064.450.693.034.350
204;Jenny;Lewald, Fanny;1843;f;Roman;94984;2.021.512.559.999.970;2.128.266.402.762.540
205;Eine Lebensfrage;Lewald, Fanny;1845;f;Roman;92191;1.923.783.499.999.980;2.086.736.774.739.380
206;Diogena;Lewald, Fanny;1847;f;Roman;32019;6.589.335.600.000.050;2.057.945.469.877.270
207;Von Geschlecht zu Geschlecht;Lewald, Fanny;1864;f;Roman;456465;9.423.369.299.997.230;2.064.423.186.881.190
208;Maria;Liebeskind, Margareta Sophia;1784;f;Roman;78610;16.081.238.800.000.200;20.456.988.678.285.400
209;Leben und Lüge;Liliencron, Detlev von;1908;m;Roman;64283;15.221.982.100.000.100;23.679.638.629.186.700
210;Zwischen Himmel und Erde;Ludwig, Otto;1856;m;Roman;70967;15.471.367.100.000.400;2.180.079.064.917.560
211;Die Heiteretei und ihr Widerspiel;Ludwig, Otto;1857;m;Roman;83885;16.548.546.800.000.100;19.727.659.057.042.500
213;Goldelse;Marlitt, Eugenie;1866;f;Roman;99952;23.715.441.099.998.300;2.372.682.997.838.790
214;Das Geheimnis der alten Mamsell;Marlitt, Eugenie;1867;f;Roman;88943;2.137.140.299.999.900;2.402.820.120.751.380
215;Das Heideprinzeßchen;Marlitt, Eugenie;1871;f;Roman;123772;29.527.212.300.000.100;23.856.132.485.538.000
216;Amtmanns Magd;Marlitt, Eugenie;1881;f;Roman;59485;1.376.352.640.000.030;2.313.781.020.425.360
217;Die Frau mit den Karfunkelsteinen;Marlitt, Eugenie;1885;f;Roman;95672;2.257.825.609.999.930;23.599.648.904.589.900
218;Durchs wilde Kurdistan;May, Karl;1892;m;Roman;149835;31.613.309.400.003.000;21.098.748.223.047.300
219;Old Surehand I;May, Karl;1894;m;Roman;156993;31.868.751.700.002.200;20.299.473.033.830.900
220;Old Surehand II;May, Karl;1894;m;Roman;156435;34.212.988.100.004.000;2.187.041.780.931.630
221;Im Lande des Mahdi I;May, Karl;1896;m;Roman;162061;341.862.694.000.025;2.109.469.236.892.430
222;Im Lande des Mahdi II;May, Karl;1896;m;Roman;149182;30.624.795.000.001.400;20.528.478.636.833.800
223;Im Lande des Mahdi III;May, Karl;1896;m;Roman;148078;31.016.091.400.001.400;2.094.577.952.160.440
224;Satan und Ischariot I;May, Karl;1896;m;Roman;140794;29.736.120.800.001.500;21.120.303.990.227.900
225;Auf fremden Pfaden;May, Karl;1897;m;Roman;120740;25.738.584.199.999.300;21.317.363.094.251.600
226;Satan und Ischariot II;May, Karl;1897;m;Roman;135480;2.838.570.860.000.050;2.095.195.497.490.440
227;Satan und Ischariot III;May, Karl;1897;m;Roman;150660;3.217.776.070.000.300;2.135.786.585.689.830
228;Im Reiche des silbernen Löwen I;May, Karl;1898;m;Roman;155128;3.165.234.850.000.120;204.040.202.284.573
229;Im Reiche des silbernen Löwen II;May, Karl;1898;m;Roman;155648;31.448.780.200.001.400;2.020.506.540.398.930
230;Old Surehand III;May, Karl;1898;m;Roman;139665;2.925.719.870.000.110;20.948.124.941.825.800
231;Am Jenseits;May, Karl;1899;m;Roman;152149;3.076.142.920.000.120;20.217.963.443.730.300
232;Im Reiche des silbernen Löwen III;May, Karl;1902;m;Roman;158913;32.440.597.700.001.900;20.414.061.593.451.700
233;Im Reiche des silbernen Löwen IV;May, Karl;1903;m;Roman;167630;34.775.820.700.002.300;20.745.582.950.547.200
234;Und Friede auf Erden!;May, Karl;1904;m;Roman;173239;3.696.578.140.000.460;2.133.802.515.600.100
235;Ardistan und Dschinnistan II;May, Karl;1909;m;Roman;168466;3.474.728.810.000.300;20.625.697.826.269.400
236;Winnetou IV;May, Karl;1910;m;Roman;155022;3.252.797.390.000.150;20.982.811.407.414.100
237;Die Bernsteinhexe;Meinhold, Wilhelm;1843;m;Roman;66707;12.367.445.800.000.800;18.539.952.029.023.700
238;Die Intellektuellen;Meisel-Hess, Grete;1911;f;Roman;98902;2.303.594.719.999.890;2.329.168.995.571.260
239;Das Blüthenalter der Empfindung;Mereau, Sophie;1794;f;Roman;15887;3.054.750.599.999.990;1.922.798.892.175.980
240;Amanda und Eduard;Mereau, Sophie;1803;f;Roman;50558;10.263.616.000.000.500;20.300.676.450.810.000
241;Jürg Jenatsch;Meyer, Conrad Ferdinand;1876;m;Roman;72025;1.639.605.909.999.970;2.276.439.999.999.960
242;Der Heilige;Meyer, Conrad Ferdinand;1880;m;Roman;41528;9.425.425.900.000.200;22.696.556.299.364.700
243;Die Versuchung des Pescara;Meyer, Conrad Ferdinand;1887;m;Roman;37491;8.095.391.000.000.200;2.159.289.162.732.440
244;Angela Borgia;Meyer, Conrad Ferdinand;1891;m;Roman;36761;8.236.860.400.000.090;2.240.651.886.510.180
245;Der Golem;Meyrink, Gustav;1913;m;Roman;71065;16.142.278.199.999.800;22.714.807.851.966.300
246;Unerfüllt;Meysenbug, Malwida Freiin von;1885;f;Roman;34175;7.725.159.400.000.060;22.604.709.290.417.100
