;filename;Titel;Autor_normalisiert;Jahr;all_words_count;anteil_abstrakt;ant_narr_abstrakt;ant_narr_konkret;ant_dir_rede;ant_ind_rede;ant_rep;ant_free;abstconc_narr
68;k00100000102;Seefahrt ist not!;Fock, Gorch;1913;75497;0.01932527120282925;0.008562087271785576;0.014016573870257672;0.1989432929990404;0.05113667699842266;0.048246726745276254;0.033135154810884734;14.823.710.183.866.300
69;k00100000103;Vor dem Sturm;Fontane, Theodor;1878;223243;0.026769036431153498;0.00969909355555249;0.02097791145265656;0.3795276001760682;0.05531225986466625;0.08276695588597349;0.004065980796633816;13.960.600.433.217.000
70;k00100000104;Grete Minde;Fontane, Theodor;1879;32666;0.025163778852629645;0.00906167787196726;0.02523628568644646;0.4203385548256695;0.04994946942900455;0.07764022233451237;0.008615462354724608;1.437.249.926.921.940
71;k00100000105;L Adultera;Fontane, Theodor;1880;44016;0.03653217011995638;0.011767195767195766;0.016211640211640208;0.4879721201846096;0.06983140246774043;0.08000376754262033;0.006141094471131205;13.529.239.788.359.800
72;k00100000106;Ellernklipp;Fontane, Theodor;1881;38711;0.02769238717677146;0.010738796931772305;0.02450545014129996;0.3792648648648649;0.05502702702702703;0.08144864864864865;0.004691891891891892;14.083.866.774.323.700
73;k00100000107;Schach von Wuthenow;Fontane, Theodor;1882;41862;0.0319621613874158;0.01003151493630432;0.018908961782591327;0.4611801242236025;0.07304108934543717;0.1063465519987259;0.010670488931358496;14.234.040.126.059.700
74;k00100000108;Graf Petöfy;Fontane, Theodor;1884;59484;0.03222715352027436;0.010391794181940474;0.018463090633933074;0.5050109239551765;0.07089999295228698;0.09001339065473253;0.0049474945380224115;1.523.177.434.000.340
75;k00100000109;Unterm Birnbaum;Fontane, Theodor;1885;32707;0.024337297826153424;0.010336811909589991;0.02215737672486276;0.4075000625422161;0.05536236959947965;0.08508243064068248;0.006554424236359543;14.149.589.000.445.100
76;k00100000110;Cécile;Fontane, Theodor;1887;55415;0.030785888297392407;0.009424603174603174;0.018783068783068783;0.4753858772649318;0.05579002311535307;0.09092535977928566;0.003564238311833569;1.433.203.174.603.170
77;k00100000111;Irrungen, Wirrungen;Fontane, Theodor;1887;51573;0.03057801562833265;0.009042251236720459;0.022869191468656232;0.5458758699772253;0.058784181942696974;0.08941056554492029;0.006816480593734572;15.180.827.994.485.300
78;k00100000112;Stine;Fontane, Theodor;1890;29682;0.032309143588706964;0.008925529740410165;0.02118961640662261;0.5296247806345581;0.07192400902532102;0.07816373715145268;0.007409677149781331;1.470.595.966.478.160
79;k00100000113;Quitt;Fontane, Theodor;1890;80207;0.02527210841946464;0.00970744932976888;0.018694423904593967;0.3335284036283075;0.07939012665635581;0.08906700664632362;0.010690548844208505;14.475.917.941.717.500
80;k00100000114;Unwiederbringlich;Fontane, Theodor;1892;81260;0.03104848634014276;0.009444126074498571;0.016939828080229227;0.4489345007020732;0.0912798381101842;0.10112951185264722;0.006886511935244075;14.657.672.435.529.900
81;k00100000115;Frau Jenny Treibel;Fontane, Theodor;1892;59303;0.031853363236261235;0.010827007590890931;0.017059528565721134;0.5778906358703214;0.08860442465562822;0.09929038541811604;0.005941282871851954;14.495.959.248.901.200
82;k00100000116;Effi Briest;Fontane, Theodor;1894;95396;0.02958195312172418;0.008935580697298546;0.020387901177557143;0.5599703828702787;0.07537731706687101;0.08873085433365763;0.005415457731017918;14.716.977.834.218.400
83;k00100000117;Die Poggenpuhls;Fontane, Theodor;1895;31779;0.029642216558104405;0.010117563234770215;0.01881011756323477;0.5844874633166864;0.0651547134840138;0.09298254646553056;0.0008752509910930341;15.284.850.017.812.600
84;k00100000118;Der Stechlin;Fontane, Theodor;1897;125070;0.02337091228911809;0.007622800732425762;0.016758219886951677;0.6156643796567519;0.06235214710257469;0.09216191243831956;0.003014397022299985;14.190.595.693.018.200
85;k00100000119;Mathilde Möhring;Fontane, Theodor;1906;32864;0.0245253164556962;0.008990367463432037;0.022832679272208348;0.5739892351983978;0.07572912755038178;0.09427963449743396;0.0043810239078733255;14.537.202.996.789.200
86;k00100000120;Rodrich;Fouqué, Caroline de la Motte;1807;66375;0.055276836158192094;0.018764978838407016;0.015883942685227682;0.4016345968209023;0.09299182701589548;0.0710470429242551;0.008185854945620696;12.725.526.235.276
87;k00100000121;Die Frau des Falkensteins;Fouqué, Caroline de la Motte;1810;66689;0.049288488356400616;0.016355386725757096;0.01717315606204495;0.4038459094317561;0.0998462144609245;0.09312286320712752;0.0036476404722868287;13.612.510.288.065.600
88;k00100000122;Magie der Natur;Fouqué, Caroline de la Motte;1812;41957;0.041137354910980285;0.015573505654281098;0.018352180936995158;0.25006565789207863;0.07735509808278955;0.07761772965110406;0.011313359865855877;13.405.317.932.148.500
89;k00100000123;Der Spanier und der Freiwillige in Paris;Fouqué, Caroline de la Motte;1814;34390;0.05266065716778133;0.018978310502283102;0.021451674277016743;0.3874111271317057;0.07415601849550042;0.08857455377119276;0.007855615770894447;14.381.188.641.552.500
90;k00100000124;Resignation;Fouqué, Caroline de la Motte;1829;137835;0.04266695686871985;0.01545230552622316;0.015874692009855685;0.578178158991806;0.10070559202645073;0.11010949254875653;0.0057261967511620104;13.009.008.623.724.100
91;k00100000125;Judith die Kluswirtin;François, Louise von;1862;45207;0.030548366403433093;0.011776218113105684;0.02297880955594548;0.3724708935719116;0.03401385411145432;0.07521064463655804;0.024875258165335482;14.919.002.227.021.100
92;k00100000126;Die Geschichte meines Urgroßvaters;François, Louise von;1868;32170;0.03898041653714642;0.013320605718748643;0.01922159066255912;0.19724964366784564;0.07831388903552762;0.08264266483661513;0.07461859261996516;15.117.079.446.348.700
93;k00100000127;Die letzte Reckenburgerin;François, Louise von;1871;92094;0.034844832453797214;0.012212596886601966;0.01919820230573829;0.3297570327766103;0.04791136673671791;0.08517678722855143;0.02565166095195959;14.234.029.831.303.500
94;k00100000128;Stufenjahre eines Glücklichen;François, Louise von;1877;163874;0.03574087408618817;0.012376051682692308;0.01744666466346154;0.2928406130983884;0.06127351784398576;0.07955854425453752;0.05841453669977066;14.643.955.453.726.700
95;k00100000129;Der Katzenjunker;François, Louise von;1879;42583;0.04149543244956908;0.013612088055229907;0.017324475706656246;0.2829931972789116;0.041309277334122055;0.06954549935916396;0.04180222813763186;14.236.622.704.181.200
96;k00100000130;Leib Weihnachtskuchen und sein Kind;Franzos, Karl Emil;1896;59209;0.034015099055886774;0.016490665375654332;0.024811643317498255;0.4740570450960999;0.05609612660055067;0.10254216899676548;0.026998850543986742;13.686.080.062.936.800
97;k00100000131;Der Pojaz;Franzos, Karl Emil;1905;139905;0.03545262856938637;0.015260555541173731;0.017072665613917005;0.4755281690140845;0.05100522489777374;0.08825533848250795;0.0226715129486597;13.757.060.757.462.200
98;k00100000132;Wir Frauen haben kein Vaterland;Frapan, Ilse;1899;24163;0.04635186028224972;0.017822105951602354;0.017576847612818837;0.538763785247309;0.04890048207092386;0.06999933962887142;0.004358449448590107;12.761.931.000.654.000
99;k00100000133;Arbeit;Frapan, Ilse;1903;75560;0.03971678136580201;0.01539396394571602;0.03429883194922693;0.475361675596276;0.03193524183918249;0.06750573291485698;0.020321465935389787;14.701.842.774.514.100
100;k00100000134;Soll und Haben;Freytag, Gustav;1855;286598;0.037589236491531695;0.01478678917873297;0.028304838847324564;0.40528932564599335;0.07048446581545716;0.07575686842043837;0.00732067412058542;1.549.041.680.653.260
