;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
189;Amtmanns Magd;Marlitt, Eugenie;1881;f;59485
190;Die Frau mit den Karfunkelsteinen;Marlitt, Eugenie;1885;f;95672
191;Durchs wilde Kurdistan;May, Karl;1892;m;149835
192;Old Surehand I;May, Karl;1894;m;156993
193;Old Surehand II;May, Karl;1894;m;156435
194;Im Lande des Mahdi I;May, Karl;1896;m;162061
195;Im Lande des Mahdi II;May, Karl;1896;m;149182
196;Im Lande des Mahdi III;May, Karl;1896;m;148078
197;Satan und Ischariot I;May, Karl;1896;m;140794
198;Auf fremden Pfaden;May, Karl;1897;m;120740
199;Satan und Ischariot II;May, Karl;1897;m;135480
200;Satan und Ischariot III;May, Karl;1897;m;150660
201;Im Reiche des silbernen Löwen I;May, Karl;1898;m;155128
202;Im Reiche des silbernen Löwen II;May, Karl;1898;m;155648
203;Old Surehand III;May, Karl;1898;m;139665
204;Am Jenseits;May, Karl;1899;m;152149
205;Im Reiche des silbernen Löwen III;May, Karl;1902;m;158913
206;Im Reiche des silbernen Löwen IV;May, Karl;1903;m;167630
207;Und Friede auf Erden!;May, Karl;1904;m;173239
208;Ardistan und Dschinnistan II;May, Karl;1909;m;168466
209;Winnetou IV;May, Karl;1910;m;155022
210;Die Bernsteinhexe;Meinhold, Wilhelm;1843;m;66707
211;Die Intellektuellen;Meisel-Hess, Grete;1911;f;98902
212;Das Blüthenalter der Empfindung;Mereau, Sophie;1794;f;15887
213;Amanda und Eduard;Mereau, Sophie;1803;f;50558
214;Jürg Jenatsch;Meyer, Conrad Ferdinand;1876;m;72025
215;Der Heilige;Meyer, Conrad Ferdinand;1880;m;41528
216;Die Versuchung des Pescara;Meyer, Conrad Ferdinand;1887;m;37491
217;Angela Borgia;Meyer, Conrad Ferdinand;1891;m;36761
218;Der Golem;Meyrink, Gustav;1913;m;71065
219;Unerfüllt;Meysenbug, Malwida Freiin von;1885;f;34175
220;Himmlische und irdische Liebe;Meysenbug, Malwida Freiin von;1905;f;37868
221;Siegwart. Eine Klostergeschichte;Miller, Johann Martin;1776;m;121752
222;Die Mandanenwaise;Möllhausen, Balduin;1865;m;189401
223;Maler Nolten;Mörike, Eduard;1832;m;131865
224;Anton Reiser;Moritz, Karl Philipp;1785;m;131523
225;Andreas Hartknopf. Eine Allegorie;Moritz, Karl Philipp;1786;m;24991
226;Andreas Hartknopfs Predigerjahre;Moritz, Karl Philipp;1790;m;15664
227;Siegfried von Lindenberg;Müller, Johann Gottwerth;1779;m;47562
228;Tropen. Der Mythos der Reise. Urkunden eines deutschen Ingenieurs;Müller, Robert;1915;m;105815
229;Madonna. Unterhaltungen mit einer Heiligen;Mundt, Theodor;1835;m;66675
230;Die Amtmannin von Hohenweiler;Naubert, Benedikte;1787;f;114278
231;Herrmann von Unna;Naubert, Benedikte;1788;f;131368
232;Alf von Dülmen;Naubert, Benedikte;1790;f;100477
233;Das Leben und die Meinungen des Herrn Magister Sebaldus Nothanker;Nicolai, Friedrich;1773;m;122704
234;Heinrich von Ofterdingen;Novalis;1802;m;48848
