;Titel;Autor_normalisiert;Jahr;Geschlecht;all_words_count
828;Schloß Vogelöd;Stratz, Rudolph;1900;m;76096
829;Der weiße Tod;Stratz, Rudolph;1897;m;50493
830;Arme Thea!;Stratz, Rudolph;1896;m;46269
831;Die armen Reichen;Stratz, Rudolph;1909;m;58833
832;Die kleine Elten;Stratz, Rudolph;1895;m;55878
833;Seine englische Frau;Stratz, Rudolph;1913;m;104180
834;Die ewige Burg;Stratz, Rudolph;1900;m;73075
835;Das freie Meer;Stratz, Rudolph;1908;m;78996
836;Für Dich;Stratz, Rudolph;1908;m;99990
837;Herzblut;Stratz, Rudolph;1908;m;88371
838;Hexenkessel;Stratz, Rudolph;1894;m;79345
839;Die törichte Jungfrau;Stratz, Rudolph;1900;m;82734
840;Montblanc;Stratz, Rudolph;1899;m;60712
841;Das Schiff ohne Steuer;Stratz, Rudolph;1789;m;124934
842;Unter den Linden;Stratz, Rudolph;1893;m;40622
843;Lieb Vaterland;Stratz, Rudolph;1911;m;76721
844;Saat und Ernte;Armand_(Friedrich Strubberg);1866;m;174940
845;Die weißen Götter – Zweiter Band;Stucken, Eduard;1917;m;184482
846;Das Gelübde einer dreißigjährigen Frau;Sturza, Marie Tihanyi Gräfin;1905;f;47088
847;Der Katzensteg;Sudermann, Hermann;1890;m;73712
848;Die Geheimnisse von Paris;Sue, Eugen;1844;m;205715
849;Eva Siebeck;Suttner, Bertha von;1892;f;67732
850;Jä gäll, so geit's!;Tavel, Rudolf von;1901;m;42366
851;Altaich;Thoma, Ludwig;1918;m;66678
852;Jozef Filsers Briefwexel;Thoma, Ludwig;1912;m;42954
853;Satiren;Thoma, Ludwig;1912;m;39136
854;Der Letzte vom »Admiral«;Treller, Franz;1899;m;90899
855;Der Gefangene der Aimaràs;Treller, Franz;1906;m;74647
856;Der Enkel der Könige;Treller, Franz;1904;m;79313
857;Der Sohn des Gaucho;Treller, Franz;1890;m;80511
858;Verwehte Spuren;Treller, Franz;1890;m;164671
859;Rosa und Gertrud;Töpffer, Rudolf;1839;m;75007
860;Die Rebächle;Villinger, Hermine;1910;f;42085
861;Zwei Menschen;Voß, Richard;1911;m;83142
862;Alpentragödie;Voß, Richard;1909;m;91740
863;Die Auferstandenen – Erster Band;Voß, Richard;1887;m;59050
864;Die Auferstandenen – Zweiter Band;Voß, Richard;1887;m;61213
865;Brutus, auch Du!;Voß, Richard;1916;m;97247
866;Michael Cibula;Voß, Richard;1887;m;99057
867;Villa Falconieri;Voß, Richard;1896;m;73595
868;Das Haus der Grimaldi;Voß, Richard;1917;m;41095
869;Römisches Fieber;Voß, Richard;1902;m;115613
870;Rolla;Voß, Richard;1883;m;103853
871;Im Schatten des Todes;Walloth, Wilhelm;1909;m;81009
872;Das Schatzhaus des Königs;Walloth, Wilhelm;1883;m;86280
873;Alexander in Babylon;Wassermann, Jakob;1905;m;49066
874;Sabbatai Zewi – Donna Johanna von Castilien – Geronimo de Aguilar – Sturreganz – Der Aufruhr um den Junker Ernst;Wassermann, Jakob;1913;m;93494
875;Melusine;Wassermann, Jakob;1896;m;43535
876;Der Moloch;Wassermann, Jakob;1903;m;78714
877;Die Schwestern;Wassermann, Jakob;1906;m;38141
878;Franziska;Weiß, Ernst;1916;m;59767
879;Die Galeere;Weiß, Ernst;1913;m;48458
880;Ich – der Augenzeuge;Weiß, Ernst;1897;m;77447
881;Mensch gegen Mensch;Weiß, Ernst;1919;m;41688
882;Tiere in Ketten;Weiß, Ernst;1918;m;48502
883;Adlerflug;Werner, Elisabeth;1886;f;35616
884;Fata Morgana;Werner, Elisabeth;1895;f;121695
885;Glück auf!;Werner, Elisabeth;1890;f;100966
886;Vineta;Werner, Elisabeth;1877;f;112832
887;Lebensgeschichte Tobias Knauts;Wezel, Johann Karl;1776;m;174907
888;Der Bürgermeister von Thorn;Wichert, Ernst;1900;m;205211
889;Heinrich von Plauen;Wichert, Ernst;1881;m;275728
890;Der Wilddieb;Wiechert, Ernst;1830;m;29154
891;Die leibhaftige Bosheit;Mann, Mathilde;1912;f;69452
892;Die Karlsbader Reise der leibhaftigen Bosheit;Wied, Gustav;1903;m;51709
893;Der leibhaftigen Bosheit Opus III;Wied, Gustav;1913;m;54517
894;Die Väter haben Herlinge gegessen;Wied, Gustav;1909;m;74219
895;Aus jungen Tagen;Wied, Gustav;1907;m;78410
896;Agathodämon;Wieland, Christoph Martin;1799;m;82528
897;Geschichte des Weisen Danischmend und der drei Kalender;Wieland, Christoph Martin;1775;m;73089
898;Schwester-Seele;Wildenbruch, Ernst von;1894;m;129634
899;Die alte Freundin;Wildermuth, Ottilie;1885;f;80422
900;Die Familie Ammer – Erste Abtheilung. Der Herrnhuter.;Willkomm, Ernst;1855;m;94848
901;Die Familie Ammer – Zweite Abtheilung. Moderne Götzendiener.;Willkomm, Ernst;1855;m;77236
902;Die Familie Ammer – Dritte Abtheilung. Geprüfte Seelen.;Willkomm, Ernst;1855;m;59376
903;Reeder und Matrose;Willkomm, Ernst;1857;m;82406
904;Die vier Töchter des Rittmeister Schimmelmann;Winterfeld, Adolf von;1920;m;127346
905;Fabiola oder Die Kirche der Katakomben;Wiseman, Kardinal;1854;m;143984
906;Die Göttin die da harret;Wit, Augusta de;1908;f;85065
907;Das kleine Glück;Wohlbrück, Olga;1910;f;50395
908;Du sollst ein Mann sein;Wohlbrück, Olga;1900;f;88780
909;Der Raubgraf;Wolff, Julius;1884;m;108262
910;Das schwarze Weib;Wolff, Julius;1894;m;76444
911;Der Sülfmeister;Wolff, Julius;1883;m;155351
912;Das Wildfangrecht;Wolff, Julius;1907;m;65395
913;Das dritte Geschlecht;Wolzogen, Ernst von;1899;m;57744
914;Die Erbschleicherinnen, Band 1;Wolzogen, Ernst von;1895;m;53839
915;Die Erbschleicherinnen - Zweiter Band;Wolzogen, Ernst von;1895;m;58075
916;Die Kinder der Excellenz;Wolzogen, Ernst von;1888;m;52655
917;Der Kraft-Mayr;Wolzogen, Ernst v.;1897;m;102151
918;Der Thronfolger - Erster Band;Wolzogen, Ernst von;1892;m;41388
919;Der Thronfolger – Zweiter Band;Wolzogen, Ernst von;1892;m;39713
920;Der schweizerische Robinson;Wyss, Johann David;1812;m;127009
921;Das Naturforscherschiff;Wörishöffer, Sophie;1880;f;158835
922;Onnen Visser - Der Schmugglersohn von Norderney;Wörishöffer, Sophie;1885;f;200666
923;Das Liebesleben eines deutschen Jünglings;Zapp, Arthur;1920;m;66014
924;Zwischen Mann und Frau;Zapp, Arthur;1914;m;61727
925;Drei Mädchen am Spinnrad;Zobeltitz, Fedor von;1912;m;84584
926;Besser Herr als Knecht;Zobeltitz, Fedor von;1900;m;90054
927;Die Million;Zolling, Theophil;1893;m;104667
928;Die Rose von Disentis;Zschokke, Heinrich;1822;m;76136
929;Der Flüchtling im Jura;Zschokke, Heinrich;1822;m;38317
930;Das Abenteuer der Neujahrsnacht;Zschokke, Heinrich;1818;m;15794
931;Der Maskenball in der Ca' Torcelli;Adlersfeld-Ballestrem, Eufemia von;1910;f;68411
932;Die Geächteten;Alexis, Willibald;1825;m;51197
933;Der schwarze Koffer;Autor, Unbekannter;1846;m;43942
934;Familie Dungs;Aram, Kurt;1913;m;79073
935;Der Tod Georgs;Beer-Hofmann, Richard;1900;m;36893
936;Frau Hempels Tochter;Berend, Alice;1912;f;47467
937;Der Wilde Freiger;Betsch, Roland;1919;m;61604
938;Geheimnisvolle Kräfte;Blüthgen, Viktor von;1920;m;62908
939;In frischem Wasser;Böhlau, Helene;1891;f;72124
940;Der gewürzige Hund;Böhlau, Helene;1916;f;64507
941;Halbtier!;Böhlau, Helene;1899;f;44685
942;Das Haus zur Flamm';Böhlau, Helene;1907;f;65837
943;Das Recht der Mutter;Böhlau, Helene;1896;f;83436
944;Die Nann;Croissant-Rust, Anna;1906;f;73742
945;Winkelquartett;Croissant-Rust, Anna;1908;f;51839
946;Vom Mars zur Erde;Daiber, Albert;1910;m;35800
947;Flitter und Schein;Dransfeld, Hedwig;1913;f;38288
948;Don Adone;Waldmüller, Robert_(Charles Edouard Duboc);1883;m;99481
949;Kleopatra;Ebers, Georg;1894;m;140248
950;Bebuquin;Einstein, Carl;1912;m;12988
951;Frieden I;Eschstruth, Nataly von;1899;f;57135
952;Frieden II;Eschstruth, Nataly von;1905;f;51169
953;Hazard. Erster Band;Eschstruth, Nataly von;1870;f;57068
954;Hazard. Zweiter Band;Eschstruth, Nataly von;1887;f;51897
955;Alraune;Ewers, Hanns Heinz;1899;m;90801
956;Der Zauberlehrling oder die Teufelsjäger;Ewers, Hanns Heinz;1909;m;102804
957;Berge und Menschen;Federer, Heinrich;1911;m;148221
958;Ein Kampf ums Recht;Franzos, Karl Emil;1893;m;139886
959;Die drei Getreuen;Frenssen, Gustav;1898;m;119165
960;Peter Moors Fahrt nach Südwest;Frenssen, Gustav;1911;m;41419
961;Jörn Uhl;Frenssen, Gustav;1901;m;140789
962;Die Berliner Range. Lotte Bach's Hochzeitsreise. Band X.;Georgy, Ernst;1898;m;38053
963;Die Berliner Range. Frau Lotte in Rußland. Band XI.;Georgy, Ernst;1899;m;44356
964;Die Berliner Range. Lotte als Mutter! Band XII.;Georgy, Ernst;1900;m;40728
965;Die Berliner Range - Neue Bekenntnisse. Band I.;Georgy, Ernst;1900;m;49004
966;Die Berliner Range - Neue Bekenntnisse. Band II.;Georgy, Ernst;1900;m;45397
967;Die Berliner Range - Neue Bekenntnisse. Band III.;Georgy, Ernst;1900;m;35086
968;Die Berliner Range - Neue Bekenntnisse. Band IV.;Georgy, Ernst;1900;m;36240
969;Die Berliner Range – Lotte Bach als Braut. Band V.;Georgy, Ernst;1900;m;39027
970;Die Berliner Range - Berlin, wie es ißt und trinkt. Band VI.;Georgy, Ernst;1901;m;34824
971;Die Berliner Range VII - Prosit Brautpaar!;Georgy, Ernst;1900;m;36181
972;Die Berliner Range VIII - Berlin wie es lebt und liebt;Georgy, Ernst;1901;m;35074
973;Die Berliner Range. Hochzeitsvorbereitungen. Band IX.;Georgy, Ernst;1900;m;38300
974;Heimisbach;Gfeller, Simon;1911;m;92681
975;Masaniello;Glaser, Adolf;1888;m;103132
976;Savonarola;Glaser, Adolf;1883;m;125136
977;Schlitzwang;Glaser, Adolf;1878;m;67994
978;Wulfhilde;Glaser, Adolf;1880;m;99125
979;Zeitgeist und Berner Geist;Gotthelf, Jeremias;1852;m;201997
980;Im Banne des Schwarzen Adlers;Gottschall, Rudolf von;1876;m;181762
981;Parasiten;Gottschall, Rudolf von;1906;m;102265
982;Firnenrausch;Grabein, Paul;1906;m;55556
983;In Jena ein Student;Grabein, Paul;1890;m;78349
984;Der König von Thule;Grabein, Paul;1907;m;50762
985;Die vom Rauhen Grund;Grabein, Paul;1914;m;88914
986;Ursula Drenck;Grabein, Paul;1919;m;60521
987;Du mein Jena!;Grabein, Paul;1900;m;56652
988;In der Philister Land;Grabein, Paul;1903;m;55053
989;Im Wechsel der Zeit;Grabein, Paul;1900;m;63438
990;Unsere liebe Frau. Erster Band;Grad, Max;1904;m;64270
991;Unsere liebe Frau. Zweiter Band;Grad, Max;1906;m;86673
992;Heilige und Menschen;Grazie, Marie Eugenie Delle;1909;f;115840
993;Töte sie!;Groller, Balduin;1892;m;45184
994;Der Genius;Grosse, Karl;1791;m;168733
995;Ravensbeck;Grosse, Julius;1909;m;41859
996;Die Partei;Großmann, Stefan;1919;m;75625
997;Seraphine;Gutzkow, Karl;1837;m;50210
998;Abraham Abt;Hadwiger, Victor;1912;m;46945
999;Il Pantegan;Hadwiger, Victor;1919;m;20645
1000;Jo;Halbe, Max;1917;m;89883
1001;Die Tat des Dietrich Stobäus;Halbe, Max;1911;m;100186
1002;Drei Teilhaber;Harte, Bret;1901;m;67013
1003;Das Geheimnis der Sierra;Harte, Bret;1905;m;40090
1004;Die goldene Schlange;Heiberg, Hermann;1883;m;58434
1005;Trotzige Herzen;Heimburg, Wilhelmine;1898;f;94697
1006;Doktor Herzfeld. Erster Teil. Die Nacht;Hermann, Georg;1912;m;70899
1007;Doktor Herzfeld.Zweiter Teil. Schnee;Hermann, Georg;1913;m;85356
1008;Henriette Jacoby;Hermann, Georg;1908;m;94495
1009;Jettchen Gebert;Hermann, Georg;1906;m;120975
1010;Kubinke;Hermann, Georg;1910;m;86262
1011;Heinrich Schön jun.;Hermann, Georg;1915;m;91006
1012;Einen Sommer lang;Hermann, Georg;1917;m;67202
1013;Das große Heimweh;Herzog, Rudolf;1913;m;116992
1014;Die Wiskottens;Herzog, Rudolf;1905;m;97469
1015;Am Kreuz;Hillern, Wilhelmine von;1890;f;169207
1016;Die Sonne von St. Moritz;Höcker, Paul Oskar;1910;m;53750
1017;Der eiserne Rittmeister;Hoffmann, Hans;1890;m;133373
1018;Moschele;Hoffmann, Franz;1854;m;28052
1019;Arge Sitten;Hopfen, Hans;1869;m;83592
1020;Robert Leichtfuß;Hopfen, Hans;1888;m;137784
1021;Peregretta;Hopfen, Hans;1864;m;53277
1022;Ein Dieb in der Nacht;Hornung, Ernest William;1908;m;51677
1023;Ein Einbrecher aus Passion;Hornung, Ernest William;1903;m;55397
1024;Raffles als Richter;Hornung, Ernest William;1912;m;60591
1025;Der Schatten des Stricks. Erster Band;Hornung, Ernest William;1906;m;41946
1026;Der Schatten des Stricks. Zweiter Band;Hornung, Ernest William;1907;m;40627
1027;Schüsse in der Nacht;Hruschka, Annie;1914;f;53239
1028;Das silberne Auto;Hruschka, Annie;1910;f;35095
1029;Peter Michel;Huch, Friedrich;1901;m;78779
1030;Wilhelm Brinkmeyers Abenteuer;Huch, Rudolf;1911;m;92477
1031;Unter einem Dach;Hübener, Helene;1897;f;80172
1032;Die drei Freundinnen;Hübener, Helene;1899;f;75724
1033;Großmütterchen;Hübener, Helene;1902;f;75595
1034;Aus dem Leben einer Waise;Hübener, Helene;1912;f;69486
1035;Maria und Lisa;Hübener, Helene;1904;f;69735
1036;Die Nachbarn;Hübener, Helene;1914;f;72293
1037;Im Rosenhaus;Hübener, Helene;1910;f;51592
1038;Der Stern des Orsini;Huna, Ludwig;1920;m;107828
1039;Der rote Teufel;Janitschek, Maria;1916;f;45829
1040;Die Sebalds. Erster Band. Im alten Hause.;Jordan, Wilhelm;1885;m;69043
1041;Die Sebalds. Zweiter Band. Exodus;Jordan, Wilhelm;1885;m;69024
1042;Der Obstkahn am Elisabethufer;Kabel, Walter;1878;m;16089
1043;Am Ende der Welt;Kabel, Walter;1878;m;46705
1044;Wiener Kinder;Karlweis, Carl;1887;m;105252
1045;Michael Hely;Karrillon, Adam;1904;m;104406
1046;Ferien vom Ich;Keller, Paul;1915;m;77257
1047;Papas Junge;Koch, Henny;1905;f;93384
1048;Die Patentochter des alten Fritz;Koch, Henny;1916;f;69203
1049;Im Haus der Witwe;Kohlrausch, Robert;1901;m;92336
1050;Am toten See;Kohlrausch, Robert;1914;m;58213
1051;Die Jobsiade;Kortum, Carl Arnold;1799;m;24425
1052;Tubal der Friedlose;Krag, Thomas P.;1910;m;49855
1053;Mein Herz;Lasker-Schüler, Else;1912;f;22801
1054;Mascotte;Leipziger, Leo;1920;m;52098
1055;Die neuen Linden;Leipziger, Leo;1920;m;22656
1056;Der Rettungsball;Leipziger, Leo;1912;m;33520
1057;El Dorado;Mader, Friedrich Wilhelm;1900;m;142195
1058;Wunderwelten;Mader, Friedrich Wilhelm;1911;m;98517
1059;Ilsedores Glück;Mancke, Marie;1905;f;21939
1060;Die Gefangenen der Apachen. Erster Band;Margot, Paul;1868;m;54876
1061;Die Gefangenen der Apachen. Zweiter Band;Margot, Paul;1868;m;71170
1062;Der blaurote Methusalem;May, Karl;1892;m;157026
1063;Das Monogramm;Möllhausen, Balduin;1874;m;210275
1064;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Erstes Buch;Mühlbach, Luise;1859;f;44577
1065;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Zweites Buch;Mühlbach, Luise;1859;f;51499
1066;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Drittes Buch;Mühlbach, Luise;1859;f;57882
1067;Berlin und Sanssouci oder Friedrich der Große und seine Freunde. Viertes Buch;Mühlbach, Luise;1859;f;58270
1068;Die Millionenbraut. Erster Band;Dumas-Mützelburg;1914;m;57471
1069;Die Millionenbraut. Zweiter Band;Dumas-Mützelburg;1914;m;61106
1070;Die Millionenbraut. Dritter Band;Dumas-Mützelburg;1914;m;53801
1071;Die Millionenbraut. Vierter Band;Dumas-Mützelburg;1914;m;44632
1072;Die rote Tinktur;Nordhausen, Richard;1895;m;113074
1073;Jakob van der Nees. Erster Theil. Angela;Paalzow, Henriette;1788;f;77334
1074;Jakob van der Nees. Zweiter Theil. Urica;Paalzow, Henriette;1788;f;84370
1075;Jakob van der Nees. Dritter Theil. Floripes;Paalzow, Henriette;1788;f;79897
1076;Die Tänzerin Barberina;Paul, Adolf;1915;m;105414
1077;Der kluge Pitter;Perfall, Karl von;1918;m;71222
1078;Der Grabenhäger;Polenz, Wilhelm von;1897;m;154590
1079;Thekla Lüdekind. Erster Band;Polenz, Wilhelm von;1900;m;98268
1080;Thekla Lüdekind. Zweiter Band;Polenz, Wilhelm von;1900;m;90370
1081;Drude;Prellwitz, Gertrud;1920;f;50096
1082;Die Erde bebt!;Primer, Fred. W.;1906;m;50007
1083;Frau Übersee;Reck-Malleczewen, Fritz;1918;m;32895
1084;Sebastopol. Erster Band;Retcliffe, John;1856;m;210828
1085;Sebastopol. Zweiter Band;Retcliffe, John;1860;m;223769
1086;Der Tiger;Revel, Hugo Alphonso;1908;m;62837
1087;Die Grandidiers;Rodenberg, Julius;1878;m;146847
1088;Orion;Roquette, Otto;1851;m;68238
1089;Der Stegreifritter;Rosegger, Hans Ludwig;1909;m;30824
1090;Der sechste Sinn;Rosenkrantz, Palle;1913;m;65282
1091;Gräfin Polly;Rosenkrantz, Palle Adam Vilhelm;1907;m;43517
1092;Kerlchens Mutterglück. Provinzmädel Band IX;Rose, Felicitas;1902;f;37914
1093;Bertrade. Die Chronik des Mönchs von Le Saremon;Rüttenauer, Benno;1918;m;55826
1094;Die Enkelin der Liselotte;Rüttenauer, Benno;1912;m;30348
1095;Der Kardinal;Rüttenauer, Benno;1912;m;49787
1096;Prinzessin Jungfrau;Rüttenauer, Benno;1911;m;65100
1097;Ein Namenloser;Sack, Gustav;1919;m;43471
1098;Florian – Das Pferd des Kaisers;Salten, Felix;1919;m;40603
1099;Werden und Wachsen;Sapper, Agnes;1910;f;82834
1100;Huberta Sollacher;Schanz, Frida;1903;f;63959
1101;Subotins Erbe;Schlippenbach, Freifrau G. von;1904;f;26905
1102;Theaterkinder;Schumacher, Tony;1912;f;51478
1103;Joli;Siebe, Josephine;1900;f;40874
1104;Die Tasse des Königs;Siebe, Josephine;1916;f;32953
1105;Jan Blaufink oder See und Theater;Smidt, Heinrich;1864;m;88019
1106;Burschen heraus!;Sperl, August;1914;m;138044
1107;Hans Georg Portner;Sperl, August;1901;m;88464
1108;Richiza;Sperl, August;1909;m;68446
1109;Die Fahrt nach der alten Urkunde;Sperl, August;1893;m;52608
1110;Angela;Spielhagen, Friedrich;1881;m;134189
1111;Ein neuer Pharao;Spielhagen, Friedrich;1889;m;113039
1112;Sturmflut. Erste Abteilung;Spielhagen, Friedrich;1877;m;102429
1113;Sturmflut. Zweite Abteilung;Spielhagen, Friedrich;1877;m;130642
1114;Was will das werden? Erster Theil;Spielhagen, Friedrich;1885;m;166288
1115;Was will das werden? Zweiter Theil;Spielhagen, Friedrich;1885;m;125223
1116;Wo Gritlis Kinder hingekommen sind;Spyri, Johanna;1884;f;34568
1117;Gritlis Kinder kommen weiter;Spyri, Johanna;1886;f;31594
1118;Europa;Sternheim, Carl;1919;m;61062
1119;Der Stärn vo Buebebärg;Tavel, Rudolf von;1907;m;71717
1120;Der Advokatenbauer;Theden, Dietrich;1899;m;55594
1121;Tutu;Ungern-Sternberg, Alexander von;1846;m;43668
1122;Vierzehn Jahr' und sieben Wochen;Ury, Else;1911;f;82837
1123;Baumeisters Rangen;Ury, Else;1910;f;56187
1124;Dornröschen;Ury, Else;1916;f;76540
1125;Flüchtlingskinder;Ury, Else;1918;f;52261
1126;Goldblondchen;Ury, Else;1908;f;44763
1127;Das graue Haus;Ury, Else;1914;f;76713
1128;Nesthäkchens Backfischzeit;Ury, Else;1919;f;55011
1129;Nesthäkchen im Kinderheim;Ury, Else;1915;f;54592
1130;Nesthäkchen und der Weltkrieg;Ury, Else;1917;f;54560
1131;Nesthäkchen und ihre Puppen;Ury, Else;1913;f;41465
1132;Nesthäkchens erstes Schuljahr;Ury, Else;1915;f;44184
1133;Kommerzienrats Olly;Ury, Else;1913;f;65976
1134;Studierte Mädel von heute;Ury, Else;1906;f;49789
1135;Die Pfahlburg;Vleuten, Carl Ferdinand van;1909;m;28949
1136;Komtesse Helene;Wachenhusen, Hans;1900;m;38564
1137;Miß Lydia;Wachenhusen, Hans;1882;m;23618
1138;Was die Straße verschlingt. Erster Band;Wachenhusen, Hans;1882;m;44103
1139;Was die Straße verschlingt. Zweiter Band;Wachenhusen, Hans;1882;m;40675
1140;Was die Straße verschlingt. Dritter Band;Wachenhusen, Hans;1882;m;48984
1141;Gisli der Waldgänger aus Islands Heldenzeit;Weber, Leopold;1916;m;33652
1142;Der Teppich des Grauens;Weinert-Wilton, Louis;1900;m;80681
1143;Der Todfeind;Westkirch, Luise;1912;f;68267
1144;Die tolle Komteß;Wolzogen, Ernst von;1889;m;93536
1145;Durch graue Gassen;Wothe, Anny;1915;f;66400
1146;Auf hoher Warte;Wothe, Anny;1915;f;66558
